decay,dropout,hc,lr,n_lays,th_updates,tot_updates,x_updates,id,objective,elapsed_sec,duration
0.0001,0.6,16,0.0001,10,5,500,2,1,93.37,56.54013514518738,55.980032444000244
0.000968511736700643,0.1764920287456333,60.0,0.0012740065925294915,20.0,8.0,2701.0,5.0,2,92.11,57.15073370933533,56.590614318847656
0.00010660724852441824,0.10411442106214999,47.0,0.019272894793471808,5.0,20.0,4346.0,18.0,3,83.05,131.63548946380615,74.50029277801514
5.207386828004592e-06,0.848847163273421,109,0.023748586609360623,14,8,4614,5,4,76.03,139.73032188415527,81.20069026947021
0.0015620223745264094,0.4129053920537793,8,2.70677384226989e-05,8,5,4125,2,5,88.28,189.65792107582092,56.67464470863342
3.470840347177923e-06,0.5418608042454198,90,0.016038036376994382,14,3,750,1,6,87.1,205.2266538143158,64.06299614906311
0.621209897829047,0.6884894707733276,85,3.8256399492983346e-05,18,4,1168,17,7,50.33,261.572283744812,70.75255942344666
0.0001673952137543768,0.7003058887757253,25,8.54726672026551e-05,16,5,2040,7,8,92.51,266.05951046943665,59.69325017929077
8.384505176908214e-06,0.6439029226519848,40,0.0010224807960922068,19,3,1058,20,9,90.26,310.16261410713196,47.44670128822327
0.2402163183768711,0.876463590571955,10,0.0022928900008626005,8,6,3191,12,10,53.33,314.13622283935547,46.9552960395813
0.004299866899517488,0.6765671982275481,18,1.7915602203519233e-05,19,20,2337,11,11,91.19,364.3827335834503,53.094380617141724
0.0001377650468839531,0.682308182984211,54,1.0752343123007202e-05,19,12,2500,18,12,88.17,368.56792855262756,53.31500864028931
0.019005093741648712,0.10235357493333616,63,1.9686370840110255e-05,20,7,1476,6,13,91.96000000000001,419.6700179576874,54.14980864524841
0.012280405836394885,0.309868449311324,10,0.0017043958196757275,12,6,3437,7,14,87.05,423.2924919128418,53.600287675857544
0.015325065875474886,0.5720679763595784,23,0.00026859865826639484,4,13,1413,10,15,93.09,480.69356656074524,60.023255825042725
0.06413516287400799,0.4157472177156741,75,8.42291590510139e-05,16,7,2993,6,16,92.94,486.0366704463959,61.479681968688965
0.06752895955635493,0.5675033152556557,37,9.341223642748785e-05,1,15,2123,11,17,90.46000000000001,549.580554485321,67.77984356880188
0.11776089095311253,0.06533758774087993,83,0.00028256569588133663,16,4,2694,10,18,87.22,555.6633853912354,68.51651000976562
0.12599737340384937,0.8603039605563112,92,0.0002733437267545764,12,12,976,5,19,85.64,625.9571559429169,75.26184344291687
0.016555393371259372,0.9530192123017326,42,0.00015561454006490717,6,11,1597,5,20,94.65,627.0854473114014,70.27936053276062
0.17299180012513543,0.7294895830991289,46,0.00010294543703028284,18,9,3990,9,22,74.12,689.2848896980286,61.06156921386719
0.16833242183746458,0.8037686002560686,48,0.00023693546917382733,16,10,3120,3,21,73.66,690.3944180011749,63.44430136680603
0.000980740996950758,0.982627487653449,47,0.00012496474821291467,18,11,3067,1,24,93.57,754.768705368042,63.27067422866821
0.1874349755145893,0.6319741098150219,55,6.689644694578842e-05,17,11,399,3,23,73.32,755.9049468040466,65.52992391586304
0.12179503624594658,0.9365550543495922,26,0.015262284935063531,2,15,2564,3,25,73.62,811.406163930893,55.51968860626221
0.11605626572983384,0.9755216664156673,47,0.00425108779358587,2,4,1217,8,26,72.91,812.5274851322174,55.4730966091156
0.11318605281670921,0.9855400557540793,80,0.0002308634040071535,4,7,3226,9,27,89.16,890.4407846927643,77.93009972572327
0.1030977716577134,0.9410104390638044,71,7.588732769578693e-05,10,18,4105,18,28,88.46000000000001,891.577877998352,77.94392561912537
0.10803399678877677,0.9280561735169338,11,0.00046611567670881856,15,13,3087,1,30,91.63,937.2192134857178,44.49140429496765
0.09532012246714398,0.7354922435792668,26,0.00022355968661565807,8,11,4786,12,29,90.44,938.3313875198364,46.77203011512756
0.10642603664262888,0.24246273896418238,16,0.0005261284641333362,7,18,1617,6,32,89.57,983.8051149845123,44.375568866729736
0.10456900554236864,0.6475599327781408,24,0.00039641468954350903,1,7,1102,4,31,88.81,984.9153115749359,46.60034441947937
0.13290780547107905,0.42366470435101466,77,0.0002780236213352403,15,8,2256,19,33,85.38,1045.4270255565643,60.52964401245117
0.11203521796532293,0.8735638079816082,13,0.0006667081629002252,3,19,3536,16,34,88.07,1046.430418252945,60.39929246902466
0.001443176262919701,0.3702261634013384,16,0.002426759846784096,16,2,2982,5,35,92.51,1098.2761135101318,51.863510608673096
0.14066074041350746,0.2560734261973491,47,0.00010763435777929995,12,2,645,1,36,85.92,1099.4571125507355,51.80924725532532
0.0004685800637673738,0.9014265022058915,12,0.0027391796269719063,16,3,1337,8,38,91.51,1147.0175082683563,46.439688205718994
0.006794446030890107,0.9897146427580825,34,0.007517897337491755,13,10,2765,8,37,69.36,1148.1537177562714,48.745660066604614
0.02846589759936074,0.9618866669642884,9,0.0065542056693783666,2,6,1399,9,39,91.02,1188.987981557846,40.8519127368927
0.0010194496861686206,0.9172283890981893,14,0.0022708077416847402,16,15,772,5,40,91.7,1193.0882995128632,43.7743866443634
4.241823181737619e-05,0.9811865365646901,82,0.00010869803760580589,20,13,4979,1,41,93.3,1275.7921817302704,85.80584573745728
0.0037639658627663117,0.9852440939824466,104,0.00014774068072916845,19,14,3939,5,42,94.01,1284.1332426071167,89.92830443382263
0.029098183364204708,0.9619092354592358,21,0.0024420196070355526,8,20,136,8,43,92.75,1326.5165343284607,49.61021304130554
0.008731597559917608,0.9567337195442777,38,0.002425082370041621,8,19,1612,8,44,91.96000000000001,1333.5295085906982,48.25408601760864
0.027886438217218756,0.37631200824194955,35,0.002342081573823779,20,10,3954,4,45,88.72,1380.5640592575073,52.914631366729736
0.002418441237731982,0.9514801960294899,44,0.002554221146420517,1,15,2913,7,46,91.48,1388.8197009563446,54.157883644104004
0.0010256254469064275,0.6193812789031194,37,0.002449645618840302,10,2,3105,3,47,91.95,1433.8135704994202,52.130223989486694
6.023926069564546e-05,0.5914727722683858,40,0.002355868470725427,5,9,1408,9,48,89.62,1441.7607114315033,51.799060344696045
0.0012220761627494353,0.8368910228149453,52,0.0023570549911566424,3,9,2883,10,49,92.69,1504.7666957378387,69.82889080047607
0.0002816455529583027,0.9939510892570321,87,0.0017528791339549204,7,3,688,8,50,50.07,1517.5937054157257,74.69865679740906
0.006681567297594474,0.994447543919255,95,0.00040353016428234536,20,15,1545,3,51,70.68,1596.212388753891,90.33243346214294
0.004001595212961083,0.9700557249205187,101,0.00036074985564259844,7,2,1013,2,52,92.41,1608.8435096740723,90.13459134101868
0.045367952382186265,0.985654687478464,125,1.627445622232131e-05,5,6,2125,12,53,66.62,1678.6089577674866,81.27754259109497
0.003074327667731451,0.9867169780084086,25,0.00020211766498981425,8,12,239,1,54,86.76,1681.0813236236572,71.1128101348877
0.019079655781845714,0.9852923805515185,14,0.00262075371414119,7,18,927,7,55,78.52,1732.401992559433,52.795953035354614
0.0007062428547742634,0.9862491556103534,55,0.0006429550880915896,8,10,1945,18,56,91.78999999999999,1734.9813375473022,52.68420147895813
0.0001221372668825206,0.986467300133205,22,0.00016836481591618553,3,18,524,5,57,68.0,1791.9047753810883,58.384740591049194
0.011578420892490556,0.799868581059755,91,0.0002688590898472628,20,3,1352,10,58,92.66,1804.0523564815521,67.94007802009583
0.014274792071581856,0.9860254949755419,92,4.059913190030161e-05,5,3,3204,4,59,96.16,1872.8686244487762,79.85205149650574
0.0002758800334317028,0.9875120393772153,71,0.00013870492823948475,12,19,2497,10,60,92.9,1881.759970664978,76.5771713256836
0.0008234872685630143,0.9879032569006819,93,0.0002195907040644637,11,3,4646,12,61,91.78999999999999,1961.9986963272095,88.12668514251709
0.01681077655769835,0.5271001233646747,104,0.0001019368632671117,13,15,3241,8,62,94.16,1973.9411489963531,91.03385758399963
1.4537189187306084e-06,0.9871836210282283,45,1.1832061425686768e-05,5,3,3893,17,63,87.84,2022.9901931285858,59.86541557312012
6.762391849303014e-06,0.9879751771864324,61,0.0011933401965686136,16,4,3020,10,64,92.65,2038.3667132854462,63.313188791275024
0.00369154940574054,0.6488668456174894,110,4.2532979408559705e-05,6,5,1513,4,65,93.78,2108.50226521492,84.39502573013306
0.000386816417560925,0.9886160752554504,52,0.0024018067146073237,12,10,994,11,66,70.07,2113.188806295395,73.70077466964722
4.6532660539791105e-05,0.9871137924730037,113,9.363511057771388e-05,3,2,1006,2,67,93.52,2209.118650197983,99.49021697044373
0.03358313030259789,0.9882249866109881,103,0.00024293072036154546,11,14,4057,20,68,93.44,2213.603385448456,99.2860324382782
0.00041827715514155476,0.8506385498163032,126,3.1234334146156585e-05,6,13,2061,7,69,92.89,2319.4520297050476,109.20652723312378
2.967697724705772e-06,0.91354499881139,128,1.63869177099991e-05,3,16,3346,3,70,92.98,2323.4513087272644,108.6960220336914
8.146471802112379e-05,0.9883773421201069,92,5.430808448489097e-05,18,12,4051,13,71,94.14,2408.646282672882,88.07327389717102
0.00041959462294194507,0.987617686811982,98,0.0006460438602096383,3,2,2169,6,72,90.77,2415.7653424739838,91.17928194999695
0.010884785069901303,0.7017545228798762,124,1.6151960612496586e-05,15,4,1412,5,73,92.78,2502.658797979355,92.89249897003174
1.1537460510485025e-06,0.9861536824447552,68,0.0011203761606502745,9,2,2314,15,74,89.56,2505.2600586414337,88.3658800125122
0.00025370134224808773,0.9443632250512659,51,0.0020777719663420753,14,5,2298,8,76,91.92,2588.892416238785,82.41643500328064
0.051042989408334676,0.7621812225025387,123,0.00010250801184904334,10,12,1290,5,75,94.48,2590.8961131572723,87.23695230484009
0.009892494011822005,0.9874986076964064,87,0.00026040256406114194,2,10,1211,13,77,94.96,2690.1288821697235,100.11347603797913
0.00012430547453402347,0.5108039795138891,127,0.00010128785550729113,6,14,3085,10,78,92.83,2692.076911211014,100.0574061870575
1.187842520555332e-06,0.9872463965548298,39,0.002428729037980622,14,6,642,5,79,78.06,2767.456953763962,76.19621729850769
3.0194295768189517e-06,0.9875730053026168,127,0.005573016204406456,17,6,4191,14,80,89.62,2775.4728395938873,82.27129340171814
1.120015721200407e-06,0.986463404361353,116,0.00030975925495781034,13,10,1342,2,81,93.17,2862.903036594391,94.44520545005798
6.0946824309763066e-06,0.988394730777272,77,0.00012670801313625213,4,6,3694,8,82,86.26,2864.6590824127197,88.05881261825562
0.04445194784556284,0.9045789658860128,80,6.94294581622873e-05,1,9,2566,4,83,92.24,2943.818524122238,79.8005108833313
0.042475464695702715,0.3229920467352744,79,6.410499051886611e-05,6,2,2598,6,84,92.07,2944.963809967041,79.1704683303833
8.657348571066368e-06,0.17394300683281083,91,1.4809801036662902e-05,9,6,4095,6,85,92.68,3039.2408504486084,94.2957227230072
2.8908713379900996e-06,0.7035047690704028,127,1.4458530535352891e-05,1,17,2384,6,86,92.11,3046.8254857063293,100.74990272521973
0.03747252128953798,0.8428474006462106,128,1.6234761962869384e-05,14,15,3264,13,87,91.15,3148.05536031723,107.69166660308838
0.051790030975607415,0.39786103926317656,125,1.1743787523569109e-05,4,10,1769,2,88,90.0,3155.0287504196167,107.07016944885254
0.048022065475595795,0.9804550317708834,97,8.338160172042512e-05,6,16,3206,5,89,92.89,3245.1489510536194,95.95996952056885
0.028634452916181635,0.20235090577685724,105,0.00011670036970887523,1,2,574,7,90,92.41,3251.0607001781464,94.91417646408081
3.540696167915125e-06,0.9850234268437192,93,5.131977087644452e-05,20,20,3159,1,91,93.81,3327.0461416244507,80.76723647117615
0.008235666356007176,0.08412823100032739,56,4.3077905690427326e-05,6,17,659,7,92,93.53,3328.1936497688293,76.00149321556091
1.4359296376735796e-06,0.9879025523933931,20,0.0002277196497493138,5,17,2763,10,93,70.41,3389.8922386169434,61.71675395965576
0.008816859390980016,0.3142455505762519,87,4.149535138816284e-05,18,12,469,3,94,93.73,3396.7419621944427,67.55717921257019
0.00014910237159713858,0.9857307888908938,73,0.00021531012282070467,5,19,847,5,95,92.51,3476.4144656658173,85.28968048095703
0.005340183510744185,0.9881784706542582,109,0.005208549684240162,6,2,1702,12,96,45.75,3485.5795962810516,87.70813345909119
0.00014895739521225427,0.988402988036226,80,0.0002437486996164984,9,4,4234,15,97,93.68,3546.203063249588,68.63067054748535
0.00925539162338546,0.9882841272198695,48,0.0001259855986521761,4,5,3627,14,98,72.23,3552.402242898941,65.67806720733643
0.004674144589184972,0.14739247980100703,13,0.0051867692329331415,11,2,4297,20,99,90.53999999999999,3590.839488506317,43.49649143218994
0.00030213204938906693,0.333009853098753,8,0.004878233527903602,18,2,2306,17,100,92.01,3592.9283742904663,39.51210260391235
